"sex","score","books","place_of_birth","good_at_maths"
"Female",34,"101-200","In UK","Disagree"
"Female",90,"More than 200","In UK","Agree"
"Male",52,"More than 200","In UK","Agree"
"Female",26,"26-100","In UK","Agree"
"Female",30,"101-200","Not in UK","Disagree"
"Female",33,"26-100","In UK","Agree"
"Female",21,"26-100","In UK","Agree"
"Male",58,"26-100","In UK","Disagree"
"Female",96,"101-200","In UK","Agree"
"Male",57,"26-100","In UK","Agree"
"Male",48,"26-100","In UK","Disagree"
"Male",13,"11-25","In UK","Disagree"
"Male",20,"26-100","In UK","Agree"
"Female",90,"More than 200","In UK","Agree"
"Female",83,"More than 200","In UK","Agree"
"Male",24,"26-100","Not in UK","Agree"
"Female",48,"26-100","In UK","Agree"
"Female",74,"26-100","In UK","Disagree"
"Male",29,"More than 200","In UK","Agree"
"Female",25,"11-25","In UK","Agree"
"Female",73,"26-100","In UK","Agree"
"Female",89,"26-100","In UK","Agree"
"Male",67,"11-25","In UK","Agree"
"Male",38,"0-10","In UK","Agree"
"Female",21,"26-100","In UK","Agree"
"Male",50,"11-25","In UK","Agree"
"Male",57,"0-10","Not in UK","Agree"
"Female",36,"0-10","Not in UK","Agree"
"Female",65,"0-10","In UK","Agree"
"Male",52,"11-25","In UK","Agree"
"Female",52,"0-10","In UK","Disagree"
"Female",14,"101-200","In UK","Agree"
"Male",62,"11-25","In UK","Agree"
"Male",24,"0-10","In UK","Agree"
"Female",26,"0-10","In UK","Agree"
"Male",33,"0-10","In UK","Agree"
"Male",33,"11-25","Not in UK","Agree"
"Male",33,"0-10","In UK","Agree"
"Male",21,"0-10","Not in UK","Agree"
"Female",73,"11-25","Not in UK","Agree"
"Female",39,"0-10","In UK","Agree"
"Female",81,"26-100","In UK","Disagree"
"Female",68,"101-200","In UK","Agree"
"Female",96,"More than 200","In UK","Agree"
"Male",100,"101-200","In UK","Agree"
"Male",48,"26-100","In UK","Disagree"
"Female",56,"26-100","In UK","Agree"
"Male",59,"More than 200","In UK","Agree"
"Female",72,"101-200","Not in UK","Disagree"
"Male",52,"101-200","Not in UK","Disagree"
"Male",78,"26-100","In UK","Agree"
"Female",78,"26-100","In UK","Disagree"
"Female",74,"26-100","In UK","Agree"
"Female",75,"101-200","In UK","Disagree"
"Female",75,"101-200","In UK","Agree"
"Male",88,"26-100","In UK","Agree"
"Male",86,"26-100","In UK","Agree"
"Female",76,"26-100","Not in UK","Disagree"
"Female",83,"26-100","In UK","Agree"
"Female",83,"More than 200","In UK","Disagree"
"Male",48,"101-200","In UK","Agree"
"Male",86,"101-200","In UK","Agree"
"Female",34,"11-25","In UK","Disagree"
"Female",76,"26-100","In UK","Agree"
"Male",83,"101-200","In UK","Agree"
"Female",85,"More than 200","In UK","Disagree"
"Female",74,"101-200","In UK","Agree"
"Female",38,"101-200","In UK","Disagree"
"Female",88,"More than 200","In UK","Agree"
"Male",96,"More than 200","In UK","Agree"
"Male",89,"More than 200","In UK","Agree"
"Male",92,"More than 200","In UK","Agree"
"Female",17,"11-25","In UK","Agree"
"Female",33,"0-10","In UK","Agree"
"Female",35,"More than 200","Not in UK","Agree"
"Male",14,"More than 200","In UK","Agree"
"Female",35,"More than 200","Not in UK","Disagree"
"Male",48,"0-10","In UK","Disagree"
"Male",36,"26-100","In UK","Agree"
"Male",24,"More than 200","In UK","Agree"
"Male",45,"26-100","In UK","Agree"
"Male",48,"0-10","Not in UK","Agree"
"Female",30,"0-10","Not in UK","Agree"
"Female",41,"26-100","Not in UK","Agree"
"Female",59,"11-25","Not in UK","Agree"
"Male",50,"26-100","In UK","Agree"
"Male",54,"11-25","In UK","Disagree"
"Male",12,"0-10","In UK","Agree"
"Male",32,"0-10","In UK","Agree"
"Male",60,"26-100","Not in UK","Agree"
"Male",13,"0-10","In UK","Agree"
"Male",22,"11-25","In UK","Agree"
"Female",38,"11-25","In UK","Disagree"
"Male",84,"11-25","In UK","Agree"
"Female",48,"26-100","In UK","Agree"
"Male",4,"11-25","In UK","Agree"
"Female",52,"101-200","In UK","Agree"
"Female",48,"101-200","In UK","Disagree"
"Male",52,"26-100","In UK","Agree"
"Male",52,"101-200","In UK","Disagree"
"Female",22,"11-25","In UK","Agree"
"Female",4,"More than 200","In UK","Agree"
"Female",62,"More than 200","In UK","Agree"
"Male",42,"26-100","In UK","Agree"
"Female",38,"26-100","In UK","Agree"
"Male",68,"0-10","In UK","Agree"
"Male",56,"11-25","In UK","Agree"
"Male",70,"11-25","In UK","Agree"
"Female",60,"26-100","In UK","Agree"
"Male",28,"0-10","In UK","Agree"
"Female",38,"More than 200","In UK","Agree"
"Female",44,"26-100","In UK","Agree"
"Female",43,"26-100","In UK","Agree"
"Male",26,"11-25","In UK","Agree"
"Female",70,"More than 200","In UK","Agree"
"Male",89,"0-10","In UK","Agree"
"Female",62,"26-100","In UK","Agree"
"Female",38,"11-25","In UK","Agree"
"Male",75,"26-100","In UK","Agree"
"Male",88,"More than 200","In UK","Agree"
"Female",48,"26-100","In UK","Agree"
"Male",70,"11-25","In UK","Agree"
"Female",80,"More than 200","In UK","Agree"
"Female",34,"26-100","In UK","Agree"
"Male",69,"26-100","In UK","Agree"
"Female",44,"26-100","In UK","Disagree"
"Female",43,"26-100","In UK","Disagree"
"Female",68,"0-10","In UK","Disagree"
"Male",24,"0-10","In UK","Disagree"
"Female",28,"26-100","In UK","Agree"
"Male",16,"More than 200","In UK","Disagree"
"Female",30,"101-200","Not in UK","Disagree"
"Male",37,"0-10","In UK","Disagree"
"Male",22,"26-100","In UK","Agree"
"Male",12,"11-25","Not in UK","Disagree"
"Female",92,"11-25","Not in UK","Agree"
"Female",25,"0-10","In UK","Agree"
"Female",28,"26-100","In UK","Agree"
"Male",83,"101-200","Not in UK","Agree"
"Male",57,"26-100","Not in UK","Agree"
"Male",16,"0-10","In UK","Disagree"
"Male",52,"0-10","In UK","Agree"
"Male",66,"11-25","In UK","Agree"
"Female",16,"11-25","In UK","Agree"
"Male",26,"11-25","Not in UK","Agree"
"Female",48,"11-25","In UK","Agree"
"Male",89,"26-100","Not in UK","Agree"
"Female",25,"26-100","In UK","Agree"
"Male",79,"11-25","In UK","Agree"
"Male",50,"11-25","In UK","Agree"
"Male",82,"11-25","In UK","Agree"
"Male",20,"0-10","In UK","Disagree"
"Male",61,"26-100","In UK","Agree"
"Female",43,"26-100","In UK","Agree"
"Male",16,"11-25","In UK","Disagree"
"Male",41,"0-10","In UK","Agree"
"Female",34,"11-25","In UK","Disagree"
"Male",56,"26-100","In UK","Agree"
"Female",19,"26-100","In UK","Disagree"
"Male",30,"11-25","Not in UK","Agree"
"Female",21,"11-25","In UK","Agree"
"Male",68,"26-100","In UK","Agree"
"Female",56,"101-200","In UK","Agree"
"Male",78,"26-100","In UK","Agree"
"Male",83,"More than 200","In UK","Agree"
"Female",80,"101-200","Not in UK","Agree"
"Male",86,"26-100","In UK","Agree"
"Female",52,"0-10","In UK","Agree"
"Female",80,"More than 200","In UK","Disagree"
"Male",67,"101-200","In UK","Agree"
"Female",37,"101-200","In UK","Disagree"
"Female",42,"11-25","In UK","Disagree"
"Male",54,"101-200","In UK","Agree"
"Male",42,"0-10","In UK","Agree"
"Male",89,"101-200","In UK","Agree"
"Female",28,"26-100","In UK","Agree"
"Female",30,"0-10","In UK","Agree"
"Female",83,"26-100","In UK","Agree"
"Female",56,"101-200","In UK","Agree"
"Female",66,"101-200","In UK","Agree"
"Female",41,"101-200","Not in UK","Disagree"
"Male",40,"26-100","In UK","Disagree"
"Male",13,"26-100","In UK","Agree"
"Female",56,"11-25","In UK","Agree"
"Female",70,"More than 200","In UK","Agree"
"Male",42,"11-25","In UK","Disagree"
"Female",71,"11-25","Not in UK","Agree"
"Female",77,"0-10","In UK","Agree"
"Male",82,"101-200","In UK","Agree"
"Female",84,"101-200","In UK","Agree"
"Male",35,"0-10","In UK","Disagree"
"Male",65,"More than 200","In UK","Agree"
"Female",24,"26-100","Not in UK","Disagree"
"Male",48,"26-100","In UK","Agree"
"Male",83,"101-200","In UK","Agree"
"Male",52,"11-25","In UK","Agree"
"Female",35,"26-100","In UK","Agree"
"Female",48,"More than 200","In UK","Disagree"
"Male",89,"0-10","In UK","Disagree"
"Female",93,"11-25","In UK","Agree"
"Female",75,"101-200","In UK","Agree"
"Female",62,"0-10","In UK","Agree"
"Male",81,"11-25","In UK","Agree"
"Female",46,"101-200","In UK","Agree"
"Male",83,"More than 200","In UK","Disagree"
"Female",30,"More than 200","In UK","Agree"
"Male",68,"11-25","In UK","Agree"
"Female",62,"26-100","In UK","Agree"
"Male",92,"More than 200","In UK","Agree"
"Female",61,"101-200","In UK","Agree"
"Female",93,"101-200","In UK","Agree"
"Female",74,"26-100","In UK","Disagree"
"Female",42,"26-100","In UK","Disagree"
"Female",96,"101-200","In UK","Agree"
"Male",75,"101-200","In UK","Agree"
"Male",80,"26-100","In UK","Agree"
"Female",65,"More than 200","In UK","Agree"
"Male",40,"11-25","In UK","Agree"
"Female",38,"More than 200","In UK","Agree"
"Male",79,"26-100","In UK","Agree"
"Female",52,"26-100","In UK","Disagree"
"Male",22,"0-10","In UK","Disagree"
"Male",74,"101-200","In UK","Agree"
"Male",93,"101-200","In UK","Agree"
"Female",67,"11-25","In UK","Disagree"
"Female",67,"101-200","In UK","Agree"
"Female",50,"26-100","In UK","Disagree"
"Male",46,"26-100","In UK","Disagree"
"Female",84,"101-200","In UK","Disagree"
"Male",96,"0-10","In UK","Disagree"
"Male",65,"11-25","In UK","Agree"
"Male",40,"11-25","In UK","Agree"
"Male",55,"11-25","In UK","Agree"
"Female",48,"11-25","In UK","Disagree"
"Female",74,"11-25","In UK","Disagree"
"Male",70,"101-200","In UK","Disagree"
"Female",74,"26-100","In UK","Disagree"
"Male",75,"26-100","In UK","Disagree"
"Female",79,"11-25","In UK","Disagree"
"Male",65,"11-25","In UK","Agree"
"Female",54,"26-100","In UK","Disagree"
"Female",56,"More than 200","In UK","Agree"
"Male",70,"11-25","In UK","Disagree"
"Female",70,"11-25","In UK","Agree"
"Female",76,"11-25","In UK","Disagree"
"Male",20,"11-25","Not in UK","Disagree"
"Male",62,"0-10","In UK","Disagree"
"Male",48,"11-25","In UK","Disagree"
"Female",28,"101-200","In UK","Disagree"
"Male",87,"101-200","In UK","Agree"
"Female",89,"26-100","In UK","Disagree"
"Male",37,"101-200","In UK","Agree"
"Male",79,"101-200","In UK","Agree"
"Male",83,"26-100","In UK","Agree"
"Male",54,"26-100","In UK","Agree"
"Female",16,"26-100","Not in UK","Agree"
"Male",65,"26-100","In UK","Agree"
"Male",36,"0-10","Not in UK","Agree"
"Female",66,"26-100","In UK","Agree"
"Male",41,"11-25","In UK","Agree"
"Female",78,"101-200","In UK","Disagree"
"Female",52,"26-100","In UK","Agree"
"Female",48,"26-100","In UK","Agree"
"Male",67,"101-200","In UK","Agree"
"Female",46,"26-100","In UK","Agree"
"Female",50,"11-25","In UK","Disagree"
"Male",61,"11-25","In UK","Agree"
"Female",32,"26-100","In UK","Agree"
"Male",39,"26-100","In UK","Agree"
"Female",52,"101-200","In UK","Disagree"
"Female",43,"26-100","In UK","Agree"
"Female",30,"11-25","In UK","Disagree"
"Male",17,"More than 200","In UK","Disagree"
"Female",42,"26-100","In UK","Agree"
"Female",42,"26-100","In UK","Agree"
"Male",79,"26-100","In UK","Agree"
"Male",84,"11-25","In UK","Agree"
"Female",52,"26-100","In UK","Agree"
"Female",22,"0-10","In UK","Disagree"
"Male",32,"101-200","In UK","Agree"
"Female",40,"26-100","In UK","Agree"
"Female",30,"11-25","In UK","Agree"
"Female",26,"26-100","In UK","Agree"
"Male",41,"26-100","In UK","Agree"
"Female",46,"More than 200","In UK","Agree"
"Male",46,"26-100","In UK","Agree"
"Male",39,"11-25","In UK","Agree"
"Male",56,"26-100","In UK","Disagree"
"Female",43,"0-10","In UK","Disagree"
"Female",21,"11-25","In UK","Agree"
"Female",35,"11-25","In UK","Disagree"
"Female",68,"26-100","Not in UK","Disagree"
"Female",92,"26-100","In UK","Disagree"
"Female",70,"More than 200","In UK","Agree"
"Female",52,"11-25","Not in UK","Disagree"
"Female",76,"More than 200","In UK","Disagree"
"Male",90,"11-25","Not in UK","Agree"
"Male",41,"26-100","In UK","Agree"
"Male",8,"More than 200","In UK","Agree"
"Male",93,"26-100","Not in UK","Agree"
"Female",100,"More than 200","In UK","Agree"
"Male",100,"26-100","In UK","Agree"
"Male",71,"11-25","Not in UK","Agree"
"Female",69,"26-100","In UK","Agree"
"Male",61,"26-100","In UK","Agree"
"Male",56,"More than 200","In UK","Agree"
"Male",35,"11-25","In UK","Agree"
"Male",87,"More than 200","Not in UK","Agree"
"Male",36,"0-10","In UK","Disagree"
"Male",72,"101-200","Not in UK","Agree"
"Male",52,"11-25","In UK","Disagree"
"Female",64,"More than 200","In UK","Disagree"
"Male",39,"26-100","In UK","Disagree"
"Male",85,"More than 200","In UK","Agree"
"Female",48,"26-100","In UK","Disagree"
"Male",67,"101-200","Not in UK","Agree"
"Male",46,"11-25","In UK","Disagree"
"Male",46,"26-100","In UK","Agree"
"Female",75,"26-100","In UK","Disagree"
"Male",44,"101-200","In UK","Disagree"
"Female",35,"11-25","In UK","Disagree"
"Male",48,"More than 200","In UK","Agree"
"Male",40,"101-200","In UK","Agree"
"Female",59,"101-200","In UK","Agree"
"Female",38,"26-100","In UK","Disagree"
"Male",32,"26-100","In UK","Agree"
"Female",74,"26-100","In UK","Agree"
"Female",11,"11-25","In UK","Disagree"
"Female",17,"26-100","Not in UK","Agree"
"Female",92,"More than 200","In UK","Agree"
"Male",85,"26-100","In UK","Agree"
"Female",25,"11-25","In UK","Disagree"
"Female",84,"More than 200","In UK","Agree"
"Female",61,"0-10","In UK","Disagree"
"Male",74,"More than 200","In UK","Agree"
"Male",40,"0-10","In UK","Agree"
"Female",69,"More than 200","In UK","Disagree"
"Male",72,"More than 200","In UK","Agree"
"Female",24,"26-100","In UK","Agree"
"Male",74,"11-25","In UK","Agree"
"Female",76,"More than 200","In UK","Agree"
"Male",86,"More than 200","In UK","Agree"
"Male",45,"26-100","In UK","Agree"
"Male",48,"11-25","In UK","Agree"
"Male",52,"More than 200","In UK","Disagree"
"Male",26,"0-10","Not in UK","Disagree"
"Female",59,"101-200","In UK","Agree"
"Female",67,"26-100","In UK","Disagree"
"Female",79,"26-100","In UK","Agree"
"Male",50,"26-100","In UK","Agree"
"Male",32,"101-200","In UK","Agree"
"Female",91,"101-200","In UK","Agree"
"Male",52,"26-100","Not in UK","Agree"
"Female",72,"11-25","In UK","Agree"
"Male",79,"26-100","In UK","Agree"
"Female",69,"101-200","In UK","Disagree"
"Female",64,"101-200","In UK","Agree"
"Female",17,"11-25","In UK","Agree"
"Female",67,"0-10","In UK","Agree"
"Male",41,"11-25","In UK","Agree"
"Male",92,"101-200","In UK","Agree"
"Male",79,"More than 200","In UK","Disagree"
"Male",50,"0-10","In UK","Agree"
"Male",39,"0-10","Not in UK","Agree"
"Male",96,"101-200","In UK","Agree"
"Female",65,"26-100","In UK","Agree"
"Male",70,"11-25","In UK","Agree"
"Male",60,"11-25","In UK","Agree"
"Female",86,"101-200","In UK","Agree"
"Male",72,"101-200","In UK","Agree"
"Male",76,"11-25","In UK","Agree"
"Male",70,"26-100","In UK","Agree"
"Male",78,"26-100","In UK","Agree"
"Male",59,"More than 200","In UK","Agree"
"Female",67,"11-25","Not in UK","Agree"
"Female",50,"101-200","In UK","Disagree"
"Male",88,"26-100","In UK","Agree"
"Female",68,"26-100","In UK","Disagree"
"Female",84,"26-100","In UK","Disagree"
"Female",74,"26-100","In UK","Agree"
"Female",39,"101-200","In UK","Disagree"
"Female",96,"101-200","In UK","Disagree"
"Male",72,"11-25","In UK","Agree"
"Male",59,"26-100","In UK","Agree"
"Female",60,"26-100","In UK","Disagree"
"Female",35,"0-10","In UK","Disagree"
"Male",85,"11-25","In UK","Agree"
"Male",52,"26-100","Not in UK","Agree"
"Female",54,"26-100","In UK","Agree"
"Male",79,"101-200","In UK","Agree"
"Female",55,"0-10","In UK","Disagree"
"Female",32,"11-25","In UK","Agree"
"Male",78,"26-100","In UK","Agree"
"Male",56,"11-25","In UK","Agree"
"Female",62,"26-100","In UK","Agree"
"Male",25,"11-25","Not in UK","Agree"
"Female",38,"26-100","In UK","Agree"
"Male",57,"0-10","In UK","Agree"
"Male",64,"26-100","In UK","Agree"
"Female",26,"26-100","Not in UK","Disagree"
"Female",22,"0-10","Not in UK","Agree"
"Female",64,"11-25","In UK","Agree"
"Female",38,"26-100","Not in UK","Agree"
"Male",62,"26-100","In UK","Agree"
"Female",52,"26-100","In UK","Disagree"
"Male",35,"0-10","In UK","Agree"
"Female",52,"More than 200","In UK","Agree"
"Male",19,"26-100","In UK","Agree"
"Male",71,"11-25","In UK","Agree"
"Male",75,"11-25","In UK","Agree"
"Male",31,"0-10","In UK","Agree"
"Female",46,"More than 200","In UK","Agree"
"Male",36,"11-25","In UK","Agree"
"Female",74,"26-100","Not in UK","Disagree"
"Male",17,"11-25","In UK","Agree"
"Male",41,"0-10","Not in UK","Disagree"
"Female",45,"11-25","In UK","Agree"
"Male",52,"11-25","In UK","Agree"
